trackID,name,MTFC,RTCD,X,Y,sequence,order,time
1,Florida Tpke Exd,Primary Road,Common Name,-80.34087973,25.95715773,1,1.00001,
2,Detroit-Toledo Expy,Primary Road,Common Name,-83.48898149,41.73203705,1,1.00002,
3,C W Anderson Loop,Primary Road,Common Name,-98.32432874,29.55651706,1,1.00003,
4,Bob Stump Memorial Pkwy,Primary Road,Common Name,-112.4417801,33.4616661,1,1.00004,
5,Escondido Fwy,Primary Road,Common Name,-117.175338,33.54133086,1,1.00005,
6,el Camino Real S,Primary Road,Common Name,-121.1532479,36.19952389,1,1.00006,
7,Central Florida Greeneway,Primary Road,Common Name,-81.50935014,28.34719829,1,1.00007,
8,Avocado Hwy,Primary Road,Common Name,-117.0712939,33.05585181,1,1.00008,
9,East Fwy,Primary Road,Common Name,-95.366207,29.7723852,1,1.00009,
10,East Fwy,Primary Road,Common Name,-94.90989789,29.82103223,1,1.0001,
11,Avocado Hwy,Primary Road,Common Name,-117.0699729,33.05949881,1,1.00011,
12,Governor John Davis Lodge Tpke,Primary Road,Common Name,-72.56464702,41.28988542,1,1.00012,
13,Escondido Fwy,Primary Road,Common Name,-117.1100099,32.86365678,1,1.00013,
14,Gold Star Mothers Memorial Hwy,Primary Road,Common Name,-71.33946665,41.80665656,1,1.00014,
15,Gold Star Mothers Memorial Hwy,Primary Road,Common Name,-71.33940465,41.80679956,1,1.00015,
16,Corona Fwy,Primary Road,Common Name,-117.5474051,33.88177388,1,1.00016,
17,Gene Snyder Fwy,Primary Road,Common Name,-85.87070991,38.09133625,1,1.00017,
18,Gene Snyder Fwy,Primary Road,Common Name,-85.87214791,38.09211725,1,1.00018,
19,Detroit-Toledo Expy,Primary Road,Common Name,-83.48063649,41.76301505,1,1.00019,
20,Beltway 8,Primary Road,Common Name,-95.20746997,29.93294824,1,1.0002,
21,Antelope Valley Fwy,Primary Road,Common Name,-118.5066823,34.33925187,1,1.00021,
22,Black Canyon Fwy,Primary Road,Common Name,-112.107814,33.43315411,1,1.00022,
23,Black Canyon Fwy,Primary Road,Common Name,-112.108278,33.43315711,1,1.00023,
24,Bob Stump Memorial Pkwy,Primary Road,Common Name,-112.4174521,33.4622811,1,1.00024,
25,Governor James G Martin Fwy,Primary Road,Common Name,-80.91756226,35.12579786,1,1.00025,
26,Baltimore Beltway,Primary Road,Common Name,-76.6654192,39.23027787,1,1.00026,
27,East-West Tollway,Primary Road,Common Name,-89.63149632,41.76290872,1,1.00027,
28,Governor James G Martin Fwy,Primary Road,Common Name,-80.91752026,35.12526986,1,1.00028,
29,Baltimore Beltway,Primary Road,Common Name,-76.6655632,39.23019187,1,1.00029,
30,C W Anderson Loop,Primary Road,Common Name,-98.32577974,29.55821006,1,1.0003,
31,Blue Star Memorial Hwy,Primary Road,Common Name,-70.99644855,41.92379459,1,1.00031,
32,Beltway 8,Primary Road,Common Name,-95.17140096,29.82781522,1,1.00032,
33,Blue Star Memorial Hwy,Primary Road,Common Name,-70.99681955,41.92356159,1,1.00033,
34,Dwight D Eisenhower Hwy,Primary Road,Common Name,-112.0250668,40.77092603,1,1.00034,
35,Adirondack Northway,Primary Road,Common Name,-73.70088152,43.37509977,1,1.00035,
36,Adirondack Northway,Primary Road,Common Name,-73.70163152,43.37508777,1,1.00036,
37,Adirondack Northway,Primary Road,Common Name,-73.84476352,42.68336464,1,1.00037,
38,Adirondack Northway,Primary Road,Common Name,-73.84368752,42.68495764,1,1.00038,
39,Allegheny Valley Expy,Primary Road,Common Name,-79.69236124,40.70641003,1,1.00039,
40,Amvets Memorial Hwy,Primary Road,Common Name,-71.13359358,41.68310254,1,1.0004,
41,Atlantic City Expy,Primary Road,Common Name,-75.04896972,39.77172703,1,1.00041,
42,Atlantic City Expy,Primary Road,Common Name,-74.44058551,39.36256297,1,1.00042,
43,Baltimore Washington Pkwy,Primary Road,Common Name,-76.93417126,38.91227579,1,1.00043,
44,Baltimore Washington Pkwy,Primary Road,Common Name,-76.93406626,38.91220379,1,1.00044,
45,Bayshore Fwy,Primary Road,Common Name,-122.3951202,37.70834394,1,1.00045,
46,Bayshore Fwy,Primary Road,Common Name,-122.3948472,37.70832194,1,1.00046,
47,Beaver Valley Expy,Primary Road,Common Name,-80.36851246,40.85267003,1,1.00047,
48,Belt Rte,Primary Road,Other,-111.8001547,40.70982204,1,1.00048,
49,Bert T Combs Mountain Pkwy,Primary Road,Common Name,-83.5612402,37.74208129,1,1.00049,
50,Bert T Combs Mountain Pkwy,Primary Road,Common Name,-83.5612402,37.74208129,1,1.0005,
51,Bert T Combs Mountain Pkwy,Primary Road,Common Name,-83.5612402,37.74208129,1,1.00051,
52,Blue Star Memorial Hwy,Primary Road,Common Name,-71.57083076,42.31936065,1,1.00052,
53,Blue Star Memorial Hwy,Primary Road,Common Name,-71.57030876,42.31966965,1,1.00053,
54,Bluegrass Pkwy,Primary Road,Common Name,-85.68631983,37.7456932,1,1.00054,
55,Bluegrass Pkwy,Primary Road,Common Name,-85.68605283,37.7455932,1,1.00055,
56,C-470,Primary Road,Common Name,-104.8703001,39.5551754,1,1.00056,
57,C-470,Primary Road,Common Name,-104.8703971,39.5554484,1,1.00057,
58,Capital Beltway,Primary Road,Common Name,-77.09918731,38.80308176,1,1.00058,
59,Capital Beltway,Primary Road,Common Name,-76.98884227,38.80622677,1,1.00059,
60,Cherokee Tpke,Primary Road,Common Name,-95.25934736,36.17692644,1,1.0006,
61,Cherokee Tpke,Primary Road,Common Name,-94.71061922,36.18910747,1,1.00061,
62,Cimarron Tpke,Primary Road,Common Name,-96.95140981,36.24179036,1,1.00062,
63,Cimarron Tpke,Primary Road,Common Name,-96.38619166,36.21684339,1,1.00063,
64,Cimarron Tpke,Primary Road,Common Name,-96.38630866,36.21702539,1,1.00064,
65,Cimarron Tpke,Primary Road,Common Name,-96.95119781,36.24187136,1,1.00065,
66,Columbia River Hwy,Primary Road,Common Name,-122.5648215,45.53288148,1,1.00066,
67,Columbia River Hwy,Primary Road,Common Name,-122.5648215,45.53270048,1,1.00067,
68,Connecticut Tpke,Primary Road,Common Name,-73.19290721,41.17112837,1,1.00068,
69,Connecticut Tpke,Primary Road,Common Name,-73.16756921,41.17535438,1,1.00069,
70,Connecticut Tpke,Primary Road,Common Name,-72.56455702,41.28986842,1,1.0007,
71,Cumberland Pkwy,Primary Road,Common Name,-85.62099976,36.99944105,1,1.00071,
72,Cumberland Pkwy,Primary Road,Common Name,-85.74972679,36.99597605,1,1.00072,
73,Custis Memorial Pkwy,Primary Road,Common Name,-77.51504644,38.80193375,1,1.00073,
74,Custis Memorial Pkwy,Primary Road,Common Name,-77.51466444,38.80170575,1,1.00074,
75,Dallas North Tollway,Primary Road,Common Name,-96.81562353,32.79615174,1,1.00075,
76,Dallas North Tollway,Primary Road,Common Name,-96.81963156,33.21262282,1,1.00076,
77,Dwight D Eisenhower Hwy,Primary Road,Common Name,-114.0436662,40.73814787,1,1.00077,
78,Dwight D Eisenhower Hwy,Primary Road,Common Name,-114.0436692,40.73799586,1,1.00078,
79,Dwight D Eisenhower Hwy,Primary Road,Common Name,-87.01468835,39.47848846,1,1.00079,
80,Dwight D Eisenhower Hwy,Primary Road,Common Name,-87.01468835,39.47820446,1,1.0008,
81,Dwight D Eisenhower Hwy,Primary Road,Common Name,-77.43318445,39.39856487,1,1.00081,
82,East-West Tollway,Primary Road,Common Name,-89.63149632,41.76252772,1,1.00082,
83,el Camino Real,Primary Road,Common Name,-118.4734452,34.16465386,1,1.00083,
84,el Camino Real,Primary Road,Common Name,-119.4199894,34.34448282,1,1.00084,
85,el Camino Real,Primary Road,Common Name,-119.4544164,34.36959382,1,1.00085,
86,el Camino Real,Primary Road,Common Name,-120.7004987,35.73861188,1,1.00086,
87,el Dorado Fwy,Primary Road,Common Name,-121.4093622,38.55381508,1,1.00087,
88,el Dorado Fwy,Primary Road,Common Name,-121.4093552,38.55358708,1,1.00088,
89,Escondido Fwy,Primary Road,Common Name,-117.1209479,32.69877176,1,1.00089,
90,Everglades Pkwy,Primary Road,Common Name,-80.44205176,26.14470477,1,1.0009,
91,Everglades Pkwy,Primary Road,Common Name,-80.44197976,26.14437877,1,1.00091,
92,Florida's Tpke,Primary Road,Common Name,-80.20911569,25.92842773,1,1.00092,
93,Florida's Tpke,Primary Road,Common Name,-80.20873069,25.92818972,1,1.00093,
94,Foothill Fwy,Primary Road,Common Name,-117.201243,34.07021892,1,1.00094,
95,Foothill Fwy,Primary Road,Common Name,-118.4621312,34.32395487,1,1.00095,
96,Frederick E Everett Tpke,Primary Road,Common Name,-71.53037979,43.17048981,1,1.00096,
97,Frederick E Everett Tpke,Primary Road,Common Name,-71.44911274,42.70034672,1,1.00097,
98,Garden State Pkwy,Primary Road,Common Name,-74.90336963,38.96009287,1,1.00098,
99,Garden State Pkwy,Primary Road,Common Name,-74.30208153,40.4898152,1,1.00099,
100,Garden State Pkwy,Primary Road,Common Name,-74.03892248,41.09562733,1,1.001,
